url,title,num_visitors_per_month,num_backward_links,publication_date,rss_feed_level,teams_mentioned,user_vote_score,publication,writer_score,created_at,updated_at,publication_name,author,rss_description,num_comments,score,site_ranking,players_mentioned,article_rank
http://ads.pheedo.com/click.phdo?s=2a5f422c8651f994b6c36b0c8d70056a&p=4,"Presented By:",186125,0,2009-05-27,0,"",,,,"2009-08-30 10:01:34","2009-08-30 10:01:44","","","<a href=""http://ads.pheedo.com/click.phdo?s=2a5f422c8651f994b6c36b0c8d70056a&amp;p=4""><img alt="""" style=""border: 0;"" border=""0"" src=""http://ads.pheedo.com/img.phdo?s=2a5f422c8651f994b6c36b0c8d70056a&amp;p=4""/></a>",0,0.0,0,"",0
http://ads.pheedo.com/click.phdo?s=2a5f422c8651f994b6c36b0c8d70056a&p=4,"Presented By:",186125,0,2009-05-27,0,"",,,,"2009-08-30 10:02:17","2009-08-30 10:02:23","","","<a href=""http://ads.pheedo.com/click.phdo?s=2a5f422c8651f994b6c36b0c8d70056a&amp;p=4""><img alt="""" style=""border: 0;"" border=""0"" src=""http://ads.pheedo.com/img.phdo?s=2a5f422c8651f994b6c36b0c8d70056a&amp;p=4""/></a>",0,0.0,0,"",0
http://ads.pheedo.com/click.phdo?s=8d21d580f0afab4fb50b3068cefdf4d3&p=4,"Presented By:",0,0,2009-05-28,0,"",,,,"2009-08-30 18:00:07","2009-08-30 18:00:17","","","<a href=""http://ads.pheedo.com/click.phdo?s=8d21d580f0afab4fb50b3068cefdf4d3&amp;p=4""><img alt="""" style=""border: 0;"" border=""0"" src=""http://ads.pheedo.com/img.phdo?s=8d21d580f0afab4fb50b3068cefdf4d3&amp;p=4""/></a>",0,0.0,,"",0
http://ads.pheedo.com/click.phdo?s=8d21d580f0afab4fb50b3068cefdf4d3&p=4,"Presented By:",0,0,2009-05-28,0,"",,,,"2009-08-30 18:02:48","2009-08-30 18:02:59","","","<a href=""http://ads.pheedo.com/click.phdo?s=8d21d580f0afab4fb50b3068cefdf4d3&amp;p=4""><img alt="""" style=""border: 0;"" border=""0"" src=""http://ads.pheedo.com/img.phdo?s=8d21d580f0afab4fb50b3068cefdf4d3&amp;p=4""/></a>",0,0.0,,"",0
http://bleacherreport.com/articles/184831-cavaliers-go-back-in-time-have-no-help-for-lebron,"For LeBron James, It\'s 2007 All Over Again",1080826,0,2009-05-27,0,"Cavaliers Magic Spurs ",,,,"2009-08-30 07:44:59","2009-08-30 07:45:04","","Roger Pimentel","",0,0.0,1817,"Lebron James ",0
http://bleacherreport.com/articles/184841-sorry-david-stern-no-kobe-or-lebron-in-the-finals,"Sorry, David Stern: No Kobe or LeBron in the NBA Finals",1080826,0,2009-05-27,0,"Celtics Cavaliers Nuggets Rockets Lakers Magic ",,,,"2009-08-30 08:45:58","2009-08-30 08:46:21","","Ari Horing","",0,0.0,1817,"Lebron James ",0
http://bleacherreport.com/articles/184864-former-hornets-help-nuggets-to-rout-lakers-tie-series-at-two,"Former Hornets Help Nuggets to Rout Lakers, Tie Series at 2",1080826,0,2009-05-27,0,"Nuggets Lakers Hornets ",,,,"2009-08-30 07:44:55","2009-08-30 07:44:59","","Bhavik Darji","",0,0.0,1817,"Kobe Bryant Chauncey Billups Carmelo Anthony ",0
http://bleacherreport.com/articles/184879-lebrons-gamewinner-vs-magic-where-were-you-when-amazing-happened,"LeBron James\' Game-Winner vs. Orlando: Where Were You When Amazing Happened?",1080826,0,2009-05-27,0,"Cavaliers Magic ",,,,"2009-08-30 07:44:51","2009-08-30 07:44:55","","Ed Yevelev","",0,0.0,1817,"Lebron James ",0
http://bleacherreport.com/articles/184887-magic-cavaliers-orlando-makes-a-statement-with-a-win-in-game-four,"Magic-Cavaliers: Orlando Makes a Statement With a Win In Game Four",1080826,0,2009-05-27,0,"Cavaliers Magic ",,,,"2009-08-30 07:30:52","2009-08-30 07:30:57","","Brandon Ribak","",0,0.0,1817,"Lebron James Dwight Howard ",0
http://bleacherreport.com/articles/184887-magic-cavaliers-orlando-makes-a-statement-with-a-win-in-game-four,"Magic-Cavaliers: Orlando Makes a Statement with a Win in Game Four",0,0,2009-05-27,0,"Cavaliers Magic ",,,,"2009-08-30 10:57:58","2009-08-30 10:58:07","","Brandon Ribak","",0,0.0,,"Lebron James Dwight Howard ",0
http://bleacherreport.com/articles/184906-magic-stuns-cavs-in-ot-116-114,"Magic Stuns Cavs in OT, 116-114",1080826,0,2009-05-27,0,"Cavaliers Magic ",,,,"2009-08-30 07:09:10","2009-08-30 07:09:16","","John Louie Ramos","",0,0.0,1817,"Lebron James Dwight Howard ",0
http://bleacherreport.com/articles/184913-sorry-cleveland-but-this-one-is-over,"Sorry Cleveland, But This One Is Over",1080826,0,2009-05-27,0,"Celtics Cavaliers Magic Sixers ",,,,"2009-08-30 06:32:52","2009-08-30 06:33:17","","John Kessanis","",0,0.0,1817,"Lebron James Dwight Howard Paul Pierce Kevin Garnett ",0
http://bleacherreport.com/articles/184913-sorry-cleveland-but-this-one-is-over,"Sorry, Cleveland, but This One Is Over",1080826,0,2009-05-27,0,"Celtics Cavaliers Magic Sixers ",,,,"2009-08-30 07:44:37","2009-08-30 07:44:51","","John Kessanis","",0,0.0,1817,"Lebron James Dwight Howard Paul Pierce Kevin Garnett ",0
